"Year","Month","Asia","Africa","Americas","Oceania","Europe","Unknow","Total"
"110","1","12313","5","7810","254","500","87","20969"
"110","2","31211","0","5041","182","382","45","36861"
"110","3","27824","3","5995","280","554","77","34733"
"110","4","19591","0","5857","356","475","39","26318"
"110","5","16184","3","7754","195","308","51","24495"
"110","6","18570","2","17814","149","549","36","37120"
"110","7","18872","11","17175","286","499","108","36951"
"110","8","18482","2","18919","864","1078","78","39423"
"110","9","17789","6","7928","1036","1305","68","28132"
"110","10","18011","7","6690","473","635","112","25928"
"110","11","16084","15","5642","134","435","91","22401"
"110","12","17805","11","7714","624","419","73","26646"
"111","1","15746","6","8750","641","677","105","25925"
"111","2","49995","18","7321","1012","945","71","59362"
"111","3","32841","16","8942","1104","1070","116","44089"
"111","4","27656","5","10590","1126","1218","81","40676"
"111","5","28002","12","14234","1234","2047","73","45602"
"111","6","40673","21","20937","2146","2991","102","66870"
"111","7","69169","16","26494","3018","3629","69","102395"
"111","8","83879","15","35754","2918","6133","112","128811"
"111","9","88438","28","25855","3375","9039","129","126864"
"111","10","135047","19","24432","4709","8068","44","172319"
"111","11","229796","27","29836","5731","11077","103","276570"
"111","12","336620","22","37357","8568","10642","129","393338"
"112","1","607783","59","51411","16178","20834","209","696474"
"112","2","591293","18","31667","15499","14325","141","652943"
"112","3","661285","24","39901","12497","22394","182","736283"
"112","4","755352","28","38832","13124","21624","1224","830184"
"112","5","790604","12","46289","11312","26736","2880","877833"
"112","6","1021676","14","56388","14243","34160","4753","1131234"
"112","7","1128885","37","59025","16721","29139","2015","1235822"
"112","8","1083486","25","52875","14938","27283","3861","1182468"
"112","9","980814","47","47413","13596","35315","2983","1080168"
"112","10","1126806","32","42556","15463","33241","545","1218643"
"112","11","1019656","19","37845","13399","25959","98","1096976"
"112","12","984674","25","39261","12540","20031","275","1056806"
"113","1","1184778","71","55012","17736","24030","124","1281751"
"113","2","1292824","38","47812","21547","27085","168","1389474"
"113","3","1232309","69","45010","15225","29240","118","1321971"
"113","4","1255004","34","47279","15480","29615","111","1347523"
"113","5","1261359","27","52960","13734","32570","131","1360781"
"113","6","1454165","25","59727","16808","36023","104","1566852"
"113","7","1460736","12","62295","20524","29124","110","1572801"